epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,386.794,0.8533,0.97029,0.99972,0.08537,0.00999545,0.00333182,0.00999545,0.00333182,0.00999545,0.00333182,0.00999545,0.00333182
2,742.346,0.20822,0.96198,0.99915,0.11224,0.0199759,0.00665864,0.0199759,0.00665864,0.0199759,0.00665864,0.0199759,0.00665864
3,1068.36,0.35551,0.95885,0.99926,0.12276,0.0298784,0.00995946,0.0298784,0.00995946,0.0298784,0.00995946,0.0298784,0.00995946
4,1399.75,0.3268,0.97951,0.99989,0.06299,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
5,1731.86,0.23512,0.98372,0.99972,0.0522,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
6,2066.61,0.20292,0.98776,0.99994,0.0377,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
7,2403.64,0.18587,0.99118,1,0.02769,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
8,2733.5,0.17964,0.99254,0.99994,0.02482,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
9,3075.38,0.17254,0.99209,0.99994,0.02287,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
10,3417.07,0.16481,0.99397,0.99989,0.02031,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
11,3758.17,0.16383,0.99357,0.99994,0.01998,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
12,4100.25,0.15852,0.9934,0.99994,0.02004,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
13,4457.22,0.15119,0.99351,0.99994,0.01907,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
14,4812.58,0.1495,0.99306,0.99994,0.0189,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
15,5165.11,0.14791,0.99328,0.99994,0.01934,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
